"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\README.md", "Markdown", 184, 0, 0, 0, 0, 0, 0, 0, 0, 54, 238
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\package-lock.json", "JSON", 0, 5088, 0, 0, 0, 0, 0, 0, 0, 1, 5089
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\app.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 15, 16, 93
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\db.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 3, 11, 91
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\middlewares\activityLogger.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\middlewares\asyncHandler.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\middlewares\auth.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\middlewares\error.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\middlewares\isAdmin.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\middlewares\respond.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\admin.js", "JavaScript", 0, 0, 643, 0, 0, 0, 0, 0, 68, 102, 813
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\colors.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\designs.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 6, 9, 40
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\histories.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 6, 11, 54
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\library.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 2, 17
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\users.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 3, 22, 139
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\routes\wizard.js", "JavaScript", 0, 0, 263, 0, 0, 0, 0, 0, 24, 33, 320
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\server.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\adminSeeder.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\aws.js", "JavaScript", 0, 0, 429, 0, 0, 0, 0, 0, 95, 66, 590
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\cloud.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\colorService.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\designService.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 3, 5, 42
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\external-ai.js", "JavaScript", 0, 0, 592, 0, 0, 0, 0, 0, 101, 108, 801
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\backend\src\services\gemini.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 10, 15, 120
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\docs\HE_THONG_CHI_TIET.md", "Markdown", 1383, 0, 0, 0, 0, 0, 0, 0, 0, 314, 1697
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\docs\backend_mockapi\README.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 12, 42
